下料批次号,零件号,数量,外轮廓,允许旋转角度,面料号
L0005,s000061,1,"[[42000.0, 1000.0], [41984.9, 998.3], [41971.5, 997.1], [41969.8, 1000.0], [41968.5, 997.0], [41954.8, 996.3], [41940.6, 995.8], [41940.9, 1063.2], [41970.1, 1091.5], [42000.0, 1063.1], [42000.0, 1000.0]]","0, 180",M0005
L0005,s000062,1,"[[42000.0, 2000.0], [41984.9, 1998.2], [41971.5, 1997.1], [41969.8, 2000.0], [41968.6, 1997.0], [41954.8, 1996.2], [41940.6, 1995.8], [41940.9, 2063.1], [41970.1, 2091.5], [42000.0, 2063.1], [42000.0, 2000.0]]","0, 180",M0005
L0005,s000063,1,"[[42000.0, 3000.0], [41984.3, 3000.0], [41971.8, 2999.8], [41970.4, 3002.8], [41968.9, 2999.8], [41955.7, 3000.3], [41940.8, 3000.8], [41940.8, 3105.6], [41967.3, 3129.2], [41976.1, 3129.2], [42000.0, 3106.0], [42000.0, 3000.0]]","0, 180",M0005
L0005,s000064,1,"[[44000.0, 1000.0], [43994.9, 1046.2], [44221.7, 1093.0], [44223.8, 1059.2], [44226.1, 1026.8], [44223.3, 1025.0], [44226.4, 1023.8], [44230.6, 985.0], [44223.1, 983.8], [44213.7, 982.3], [44204.3, 980.9], [44194.9, 979.5], [44192.5, 979.1], [44185.6, 978.1], [44176.2, 976.8], [44173.4, 976.4], [44166.8, 975.5], [44161.1, 974.8], [44155.5, 974.1], [44154.3, 974.0], [44151.7, 973.7], [44147.9, 973.3], [44144.1, 973.0], [44140.3, 972.7], [44136.5, 972.5], [44132.8, 972.2], [44130.3, 972.1], [44129.0, 972.0], [44125.2, 971.8], [44115.7, 971.3], [44106.2, 970.9], [44081.6, 970.5], [44056.9, 970.4], [44042.6, 970.5], [44041.2, 973.4], [44039.7, 970.5], [44012.1, 971.3], [44010.2, 1000.1], [44000.0, 1000.0]]","0, 180",M0005
L0005,s000065,1,"[[44000.0, 2000.0], [44088.3, 2000.3], [44089.8, 1997.4], [44091.3, 2000.4], [44178.4, 2000.5], [44178.0, 1987.7], [44175.0, 1986.3], [44177.9, 1984.8], [44177.9, 1923.7], [44175.0, 1922.2], [44177.9, 1920.7], [44177.5, 1907.0], [44091.1, 1906.6], [44089.6, 1909.6], [44088.2, 1906.6], [43999.3, 1906.2], [43999.5, 1919.5], [44002.5, 1920.9], [43999.6, 1922.4], [43999.5, 1983.8], [44002.5, 1985.2], [43999.6, 1986.8], [44000.0, 2000.0]]","0, 180",M0005
L0005,s000066,1,"[[44000.0, 3000.0], [43991.9, 2976.4], [43711.0, 3066.9], [43718.3, 3090.8], [44000.0, 3000.0]]","0, 180",M0005
L0005,s000067,1,"[[46000.0, 1000.0], [45972.4, 984.6], [45965.2, 990.4], [45963.9, 991.4], [45962.3, 992.6], [45960.7, 993.8], [45959.0, 995.0], [45958.5, 995.4], [45957.3, 996.2], [45955.6, 997.3], [45953.9, 998.4], [45952.3, 999.4], [45952.2, 999.5], [45951.2, 1000.2], [45950.1, 1000.8], [45949.4, 1001.1], [45949.4, 1001.2], [45948.7, 1001.5], [45947.9, 1001.9], [45946.4, 1002.5], [45935.7, 1005.0], [45931.7, 1005.7], [45926.7, 1006.5], [45924.7, 1006.8], [45923.7, 1006.9], [45921.7, 1007.2], [45919.7, 1007.4], [45917.7, 1007.7], [45915.7, 1007.9], [45913.7, 1008.1], [45910.6, 1008.4], [45905.6, 1008.8], [45902.7, 1009.0], [45900.6, 1009.1], [45895.5, 1009.4], [45890.5, 1009.6], [45885.4, 1009.8], [45880.4, 1010.0], [45880.4, 1010.0], [45858.1, 1010.1], [45854.8, 1009.9], [45852.7, 1009.9], [45852.4, 1009.9], [45850.8, 1009.9], [45849.1, 1010.0], [45847.5, 1010.0], [45845.9, 1010.1], [45843.2, 1010.4], [45841.9, 1010.5], [45839.4, 1010.7], [45837.0, 1010.9], [45834.6, 1011.2], [45833.7, 1011.4], [45833.0, 1011.4], [45831.4, 1011.7], [45829.8, 1012.0], [45828.2, 1012.2], [45826.6, 1012.5], [45825.0, 1012.9], [45823.8, 1013.1], [45822.6, 1013.4], [45820.3, 1013.9], [45817.9, 1014.5], [45815.6, 1015.2], [45814.1, 1015.6], [45814.0, 1015.7], [45812.5, 1016.2], [45810.9, 1016.7], [45809.4, 1017.2], [45807.9, 1017.8], [45806.4, 1018.4], [45805.7, 1018.7], [45804.9, 1019.0], [45803.4, 1019.7], [45801.9, 1020.3], [45800.4, 1021.0], [45799.0, 1021.7], [45797.6, 1022.3], [45797.5, 1022.4], [45796.1, 1023.1], [45794.6, 1023.8], [45793.2, 1024.6], [45789.6, 1026.5], [45786.1, 1028.5], [45782.6, 1030.5], [45781.9, 1030.9], [45766.4, 1040.1], [45781.0, 1079.3], [45798.4, 1075.6], [45799.4, 1072.4], [45801.3, 1075.2], [45815.8, 1073.8], [45838.0, 1072.9], [45859.8, 1072.4], [45868.4, 1072.4], [45988.5, 1072.5], [46000.0, 1000.0]]","0, 180",M0005
L0005,s000068,1,"[[46000.0, 2000.0], [46000.4, 2232.4], [46003.4, 2233.9], [46000.4, 2235.4], [46000.5, 2278.7], [46038.4, 2280.5], [46039.8, 2277.6], [46041.3, 2280.5], [46266.4, 2269.1], [46268.8, 2266.2], [46269.3, 2268.9], [46284.3, 2268.2], [46293.9, 2234.4], [46311.7, 2233.1], [46343.9, 2231.4], [46345.3, 2228.4], [46346.9, 2231.4], [46363.1, 2231.5], [46380.8, 2232.2], [46384.8, 2232.6], [46389.9, 2233.1], [46391.9, 2233.3], [46391.9, 2233.3], [46393.9, 2233.5], [46399.0, 2234.2], [46403.0, 2234.8], [46404.0, 2234.9], [46409.0, 2235.7], [46414.1, 2236.5], [46419.1, 2237.4], [46424.1, 2238.2], [46425.1, 2238.4], [46425.1, 2238.4], [46457.7, 2245.1], [46469.1, 2247.7], [46483.4, 2251.0], [46489.2, 2252.3], [46490.1, 2252.6], [46494.9, 2253.7], [46509.2, 2257.1], [46523.4, 2260.6], [46537.7, 2264.1], [46541.9, 2265.2], [46552.0, 2267.6], [46566.2, 2271.1], [46580.5, 2274.6], [46583.4, 2275.3], [46587.8, 2260.2], [46622.6, 2259.3], [46651.8, 2259.3], [46653.3, 2256.3], [46654.8, 2259.3], [46669.2, 2259.7], [46689.4, 2260.5], [46716.9, 2262.9], [46744.2, 2266.0], [46765.8, 2269.1], [46775.8, 2242.6], [46783.1, 2223.6], [46785.6, 2217.4], [46788.6, 2209.6], [46791.7, 2201.8], [46792.1, 2200.9], [46794.8, 2194.0], [46798.0, 2186.3], [46799.9, 2181.7], [46801.2, 2178.6], [46801.3, 2178.3], [46802.5, 2175.5], [46805.9, 2167.8], [46809.3, 2160.2], [46811.4, 2155.6], [46821.9, 2133.2], [46833.9, 2109.3], [46839.6, 2098.3], [46835.2, 2093.2], [46831.2, 2087.9], [46830.1, 2085.9], [46829.2, 2084.3], [46828.4, 2082.8], [46827.9, 2081.6], [46827.7, 2081.2], [46827.2, 2080.1], [46826.8, 2079.0], [46826.3, 2077.9], [46825.9, 2076.8], [46825.6, 2075.7], [46825.3, 2074.9], [46825.2, 2074.6], [46824.9, 2073.5], [46824.6, 2072.3], [46824.3, 2071.2], [46824.0, 2070.1], [46823.8, 2068.9], [46823.6, 2067.8], [46823.5, 2067.3], [46823.4, 2066.6], [46823.2, 2065.4], [46823.0, 2064.3], [46822.8, 2063.1], [46822.7, 2061.9], [46822.5, 2060.8], [46822.4, 2059.4], [46822.2, 2057.9], [46822.0, 2054.9], [46821.8, 2052.0], [46821.8, 2050.8], [46821.5, 2042.2], [46821.6, 2010.5], [46818.7, 2009.0], [46821.6, 2007.6], [46821.8, 1992.5], [46758.2, 1989.3], [46746.7, 1989.0], [46732.3, 1988.6], [46717.9, 1988.3], [46714.8, 1988.3], [46709.3, 1988.2], [46700.6, 1988.1], [46692.0, 1988.0], [46683.3, 1988.0], [46674.7, 1988.0], [46671.4, 1988.0], [46668.9, 1988.0], [46663.2, 1988.1], [46657.4, 1988.1], [46651.7, 1988.2], [46637.3, 1988.5], [46635.6, 1988.6], [46622.9, 1988.8], [46608.5, 1989.2], [46599.9, 1989.4], [46528.1, 1992.0], [46409.4, 1998.5], [46346.9, 1999.7], [46345.4, 2002.7], [46343.9, 1999.8], [46040.8, 2000.2], [46039.3, 2003.2], [46037.9, 2000.2], [46000.0, 2000.0]]","0, 180",M0005
L0005,s000069,1,"[[46000.0, 3000.0], [46022.2, 3021.6], [46064.3, 3019.4], [46063.5, 2979.8], [46022.2, 2978.1], [46000.0, 3000.0]]","0, 180",M0005
L0005,s000070,1,"[[48000.0, 1000.0], [48000.0, 1058.8], [48058.8, 1058.8], [48058.8, 1000.0], [48000.0, 1000.0]]","0, 180",M0005
L0005,s000071,1,"[[48000.0, 2000.0], [47985.2, 1999.2], [47974.1, 1998.6], [47963.0, 1998.1], [47951.9, 1997.6], [47944.5, 1997.3], [47943.2, 1997.2], [47937.1, 1997.0], [47929.7, 1996.8], [47922.3, 1996.6], [47914.9, 1996.5], [47907.5, 1996.3], [47902.3, 1996.2], [47896.4, 1996.1], [47885.3, 1996.0], [47874.2, 1995.9], [47866.7, 1995.9], [47861.3, 1995.9], [47859.3, 1995.9], [47851.9, 1996.0], [47844.5, 1996.1], [47837.1, 1996.2], [47829.7, 1996.4], [47822.3, 1996.6], [47815.3, 1996.8], [47803.8, 1997.2], [47785.3, 1997.8], [47774.9, 1998.2], [47766.8, 1998.5], [47755.7, 1999.0], [47744.6, 1999.5], [47733.5, 2000.0], [47729.8, 2000.2], [47726.1, 2000.5], [47718.7, 2000.9], [47711.3, 2001.4], [47692.8, 2002.8], [47684.5, 2003.3], [47674.3, 2004.1], [47655.9, 2005.4], [47637.4, 2006.6], [47633.7, 2006.9], [47600.9, 2009.3], [47563.7, 2011.3], [47548.1, 2011.6], [47546.6, 2014.6], [47545.1, 2011.7], [47228.7, 2011.8], [47227.2, 2014.7], [47225.8, 2011.8], [47187.9, 2011.9], [47186.3, 2227.3], [47189.2, 2228.8], [47186.3, 2230.2], [47185.9, 2269.0], [47223.8, 2269.6], [47225.1, 2266.8], [47226.8, 2269.6], [47465.9, 2250.8], [47467.2, 2247.8], [47468.9, 2250.6], [47477.4, 2249.9], [47481.3, 2220.4], [47514.8, 2216.9], [47530.3, 2215.6], [47544.4, 2215.0], [47545.8, 2211.9], [47547.3, 2215.0], [47555.0, 2215.3], [47564.1, 2216.1], [47583.6, 2217.8], [47603.1, 2220.0], [47616.9, 2222.1], [47630.8, 2224.4], [47659.7, 2229.9], [47661.7, 2227.3], [47662.5, 2230.5], [47696.7, 2238.0], [47730.7, 2245.4], [47760.0, 2251.4], [47762.0, 2248.8], [47762.9, 2252.0], [47784.4, 2255.8], [47787.9, 2241.3], [47813.0, 2241.0], [47840.4, 2241.1], [47858.9, 2241.7], [47860.5, 2238.8], [47861.8, 2241.8], [47874.2, 2242.8], [47887.9, 2244.1], [47905.4, 2246.3], [47925.1, 2249.6], [47927.7, 2250.1], [47931.0, 2250.9], [47934.3, 2251.6], [47937.6, 2252.3], [47939.3, 2252.7], [47940.9, 2253.1], [47944.2, 2253.9], [47946.8, 2254.6], [47960.1, 2216.6], [47962.2, 2211.1], [47964.9, 2204.3], [47967.2, 2198.4], [47967.6, 2197.4], [47970.4, 2190.6], [47973.2, 2183.8], [47974.7, 2180.3], [47976.1, 2177.1], [47979.1, 2170.3], [47982.1, 2163.6], [47985.1, 2156.9], [47985.1, 2156.9], [47996.4, 2132.9], [48010.9, 2104.8], [48018.9, 2090.1], [48013.1, 2084.0], [48008.5, 2077.7], [48008.0, 2076.9], [48007.4, 2075.9], [48006.8, 2074.9], [48006.5, 2074.4], [48006.3, 2073.9], [48005.8, 2072.8], [48005.3, 2071.7], [48004.9, 2070.9], [48002.8, 2063.1], [48002.4, 2060.9], [48002.0, 2058.2], [48001.6, 2055.5], [48001.5, 2055.1], [48001.2, 2052.7], [48000.9, 2050.0], [48000.7, 2047.2], [48000.7, 2047.0], [48000.5, 2044.4], [48000.3, 2041.7], [48000.2, 2038.9], [47999.8, 2029.0], [47999.9, 2020.6], [47996.9, 2019.1], [47999.9, 2017.7], [48000.0, 2000.0]]","0, 180",M0005
L0005,s000072,1,"[[48000.0, 3000.0], [47996.9, 2998.5], [48000.0, 2997.1], [48000.5, 2989.8], [48001.0, 2971.1], [47827.5, 2954.7], [47799.1, 2979.9], [47815.0, 2997.1], [47819.3, 2998.5], [47815.0, 3000.0], [47799.1, 3017.2], [47827.5, 3042.3], [48001.0, 3025.9], [48001.0, 3022.8], [48000.9, 3018.8], [48000.8, 3014.9], [48000.7, 3011.0], [48000.5, 3007.3], [48000.5, 3007.1], [48000.2, 3003.1], [48000.0, 3000.0]]","0, 180",M0005
L0005,s000073,1,"[[50000.0, 1000.0], [49976.9, 1146.8], [50037.0, 1147.0], [50039.0, 1111.6], [50039.4, 1107.2], [50040.0, 1101.7], [50040.6, 1096.2], [50040.8, 1094.7], [50041.2, 1090.8], [50042.0, 1085.3], [50042.5, 1082.1], [50043.0, 1078.8], [50043.1, 1078.2], [50043.5, 1075.5], [50044.2, 1072.3], [50044.8, 1069.1], [50045.3, 1066.9], [50045.3, 1066.8], [50045.8, 1064.8], [50046.4, 1062.7], [50047.0, 1060.5], [50047.6, 1058.4], [50048.2, 1056.3], [50048.9, 1054.2], [50049.3, 1053.0], [50049.6, 1052.1], [50050.3, 1050.0], [50052.1, 1044.9], [50053.6, 1040.7], [50069.2, 1001.9], [50000.0, 1000.0]]","0, 180",M0005
L0005,s000074,1,"[[50000.0, 2000.0], [50101.4, 1999.9], [50152.0, 2000.1], [50201.2, 2000.7], [50202.7, 1997.8], [50204.2, 2000.8], [50285.7, 2002.9], [50368.7, 2005.8], [50451.7, 2009.4], [50534.7, 2013.4], [50573.6, 2015.4], [50593.1, 2016.8], [50611.0, 2018.5], [50612.8, 2015.7], [50613.9, 2018.8], [50630.2, 2021.2], [50647.8, 2024.2], [50682.9, 2031.2], [50688.6, 2032.5], [50695.9, 2034.1], [50700.2, 2035.0], [50702.1, 2035.5], [50703.0, 2035.7], [50705.9, 2036.4], [50708.8, 2037.1], [50711.6, 2037.8], [50714.5, 2038.5], [50717.3, 2039.3], [50720.2, 2040.0], [50721.2, 2040.3], [50727.3, 2042.0], [50734.4, 2044.0], [50741.5, 2046.1], [50748.5, 2048.3], [50749.0, 2048.4], [50755.5, 2050.5], [50759.7, 2051.9], [50762.5, 2052.8], [50762.8, 2052.9], [50765.3, 2053.7], [50772.3, 2056.2], [50776.5, 2057.6], [50815.5, 2072.9], [50829.5, 2078.7], [50847.1, 2085.9], [50854.2, 2088.9], [50854.2, 2088.9], [50861.2, 2091.8], [50878.7, 2099.2], [50896.2, 2106.7], [50913.7, 2114.2], [50931.2, 2121.8], [50930.9, 2116.9], [50930.3, 2108.6], [50929.8, 2100.4], [50929.4, 2092.2], [50929.1, 2085.6], [50929.0, 2084.0], [50928.7, 2075.8], [50928.4, 2067.6], [50928.4, 2049.5], [50928.5, 2047.0], [50928.7, 2043.9], [50929.0, 2040.8], [50929.2, 2038.9], [50929.2, 2038.8], [50929.4, 2037.7], [50929.5, 2036.4], [50930.0, 2033.3], [50930.6, 2030.2], [50931.0, 2028.2], [50931.2, 2027.2], [50931.8, 2024.1], [50932.4, 2021.0], [50933.1, 2018.0], [50933.6, 2016.1], [50934.0, 2014.6], [50934.1, 2014.3], [50934.4, 2013.1], [50935.3, 2010.1], [50936.1, 2007.9], [50936.3, 2007.1], [50936.9, 2005.4], [50937.6, 2003.6], [50938.3, 2001.9], [50938.5, 2001.4], [50938.8, 2000.7], [50939.4, 1999.6], [50940.0, 1998.5], [50940.6, 1997.4], [50941.2, 1996.3], [50942.0, 1995.0], [50942.2, 1994.7], [50943.2, 1993.1], [50944.4, 1991.6], [50945.6, 1990.2], [50946.3, 1989.3], [50946.4, 1989.2], [50947.2, 1988.3], [50948.1, 1987.4], [50949.0, 1986.5], [50949.3, 1986.2], [50949.9, 1985.7], [50950.9, 1984.9], [50951.8, 1984.1], [50952.6, 1983.5], [50952.8, 1983.3], [50953.8, 1982.5], [50954.8, 1981.8], [50956.0, 1980.9], [50956.4, 1980.7], [50958.0, 1979.7], [50959.0, 1979.1], [50959.7, 1978.7], [50960.1, 1978.5], [50961.3, 1977.9], [50962.4, 1977.4], [50963.6, 1976.9], [50964.7, 1976.4], [50965.9, 1976.0], [50966.8, 1975.6], [50968.9, 1974.9], [50971.8, 1973.9], [50974.2, 1973.1], [50991.1, 1969.8], [51002.2, 1968.2], [51003.2, 1965.1], [51005.1, 1967.8], [51190.5, 1938.2], [51178.7, 1902.5], [51175.4, 1901.8], [51178.0, 1899.6], [51174.5, 1878.4], [51171.3, 1859.5], [51168.9, 1841.2], [51166.2, 1815.0], [51165.2, 1799.2], [51162.2, 1797.4], [51165.1, 1796.2], [51164.8, 1791.2], [51161.9, 1790.2], [51164.4, 1788.3], [51162.9, 1782.9], [51159.6, 1782.1], [51162.1, 1780.1], [51158.1, 1766.8], [51156.1, 1758.3], [51154.5, 1749.8], [51152.6, 1736.3], [51149.4, 1735.2], [51152.2, 1733.4], [51151.8, 1728.2], [51148.8, 1727.3], [51151.2, 1725.3], [51149.2, 1719.8], [51146.1, 1719.6], [51148.2, 1717.0], [51143.2, 1702.0], [51138.1, 1685.6], [51135.4, 1675.0], [51133.1, 1664.3], [51131.6, 1654.8], [51128.4, 1653.8], [51131.1, 1651.8], [51130.1, 1644.6], [51119.1, 1645.6], [51110.9, 1646.4], [51105.5, 1647.0], [51100.9, 1647.5], [51100.0, 1647.6], [51094.6, 1648.3], [51089.2, 1649.0], [51083.7, 1649.8], [51078.3, 1650.6], [51075.7, 1651.0], [51064.7, 1652.6], [51051.1, 1654.7], [51050.4, 1654.8], [51037.6, 1656.9], [51024.0, 1659.1], [51010.5, 1661.3], [51000.0, 1663.1], [50997.0, 1663.6], [50988.9, 1665.0], [50983.5, 1666.0], [50980.8, 1666.5], [50978.1, 1667.0], [50972.7, 1668.1], [50967.3, 1669.3], [50963.7, 1670.1], [50959.3, 1671.1], [50953.9, 1672.3], [50948.6, 1673.5], [50946.7, 1674.0], [50943.2, 1674.9], [50937.9, 1676.3], [50924.7, 1679.8], [50923.3, 1680.2], [50919.4, 1681.2], [50914.1, 1682.6], [50908.7, 1684.0], [50903.4, 1685.3], [50890.1, 1688.5], [50876.7, 1691.7], [50873.0, 1692.6], [50863.4, 1695.0], [50850.1, 1698.3], [50836.8, 1701.7], [50824.1, 1704.8], [50823.5, 1705.0], [50810.1, 1708.3], [50796.8, 1711.5], [50788.8, 1713.4], [50780.8, 1715.3], [50775.4, 1716.5], [50775.1, 1716.6], [50770.1, 1717.7], [50756.7, 1720.7], [50745.9, 1723.0], [50716.6, 1728.8], [50685.0, 1734.0], [50653.3, 1738.2], [50614.4, 1742.0], [50613.2, 1745.0], [50611.5, 1742.2], [50582.5, 1744.3], [50490.7, 1750.9], [50444.7, 1753.9], [50398.8, 1756.5], [50349.6, 1758.6], [50300.4, 1760.3], [50251.2, 1761.6], [50203.4, 1762.4], [50202.0, 1765.4], [50200.5, 1762.4], [50151.3, 1762.6], [50100.6, 1762.5], [49999.3, 1761.7], [50000.0, 2000.0]]","0, 180",M0005
L0005,s000075,1,"[[50000.0, 3000.0], [49991.9, 2976.4], [49711.0, 3066.9], [49718.3, 3090.8], [50000.0, 3000.0]]","0, 180",M0005
L0005,s000076,1,"[[52000.0, 1000.0], [52007.3, 1023.8], [52289.0, 933.1], [52281.0, 909.5], [52000.0, 1000.0]]","0, 180",M0005
L0005,s000077,1,"[[52000.0, 2000.0], [51992.0, 1976.4], [51711.0, 2066.9], [51718.3, 2090.7], [52000.0, 2000.0]]","0, 180",M0005
L0005,s000078,1,"[[52000.0, 3000.0], [51990.5, 3164.8], [52006.3, 3180.4], [52099.2, 3180.7], [52107.2, 3008.6], [52000.0, 3000.0]]","0, 180",M0005
L0005,s000079,1,"[[54000.0, 1000.0], [54013.3, 1018.7], [54017.3, 1020.2], [54013.3, 1021.7], [54000.0, 1040.4], [54029.9, 1061.4], [54093.8, 1039.2], [54091.3, 1024.8], [54090.8, 1021.7], [54087.6, 1020.2], [54090.8, 1018.7], [54091.3, 1015.6], [54093.8, 1001.2], [54029.9, 979.0], [54000.0, 1000.0]]","0, 180",M0005
L0005,s000080,1,"[[54000.0, 2000.0], [53945.3, 1999.1], [53884.3, 1999.5], [53882.8, 2002.4], [53881.3, 1999.5], [53851.5, 1999.6], [53819.4, 2000.9], [53787.3, 2002.7], [53779.2, 2003.2], [53769.0, 2003.9], [53758.9, 2004.7], [53753.8, 2005.1], [53748.7, 2005.5], [53738.6, 2006.4], [53728.4, 2007.3], [53720.3, 2008.0], [53696.9, 2010.5], [53673.5, 2013.2], [53638.5, 2018.1], [53637.4, 2021.2], [53635.5, 2018.6], [53593.3, 2025.6], [53549.6, 2033.1], [53539.5, 2000.3], [53532.4, 2001.5], [53531.4, 2004.7], [53529.5, 2002.0], [53415.9, 2021.2], [53415.1, 2024.3], [53413.0, 2021.9], [53371.8, 2033.8], [53406.8, 2197.7], [53448.2, 2186.8], [53449.2, 2183.5], [53451.2, 2186.3], [53506.8, 2180.7], [53508.0, 2177.6], [53509.7, 2180.4], [53541.5, 2178.0], [53542.8, 2174.9], [53544.5, 2177.8], [53576.3, 2175.8], [53577.7, 2172.7], [53579.3, 2175.7], [53624.3, 2174.8], [53631.3, 2174.7], [53670.3, 2175.1], [53718.9, 2176.6], [53746.4, 2177.7], [53748.0, 2174.8], [53749.3, 2177.9], [53777.6, 2180.7], [53807.3, 2184.1], [53866.8, 2191.5], [53868.6, 2181.8], [53867.3, 2172.1], [53866.8, 2166.1], [53863.7, 2164.8], [53866.6, 2163.1], [53866.5, 2158.4], [53866.6, 2152.3], [53866.8, 2150.0], [53867.0, 2147.2], [53867.2, 2144.4], [53867.3, 2143.6], [53867.5, 2141.6], [53867.9, 2138.8], [53868.4, 2136.0], [53868.5, 2134.9], [53868.8, 2133.2], [53869.4, 2130.4], [53870.0, 2127.6], [53870.3, 2126.0], [53870.7, 2124.5], [53870.8, 2124.3], [53871.1, 2123.2], [53871.4, 2122.1], [53872.2, 2119.4], [53872.2, 2119.4], [53872.8, 2117.8], [53873.3, 2116.2], [53874.0, 2114.7], [53874.1, 2114.4], [53874.4, 2113.6], [53874.9, 2112.6], [53875.5, 2111.6], [53875.9, 2110.8], [53876.0, 2110.6], [53876.6, 2109.6], [53877.2, 2108.7], [53877.8, 2107.7], [53878.1, 2107.3], [53878.7, 2106.3], [53879.7, 2104.9], [53880.7, 2103.5], [53881.8, 2102.2], [53882.9, 2100.9], [53883.0, 2100.7], [53883.6, 2100.1], [53884.4, 2099.2], [53885.2, 2098.4], [53887.2, 2096.4], [53888.0, 2095.7], [53888.0, 2095.7], [53893.4, 2090.9], [53895.4, 2089.2], [53894.7, 2085.9], [53897.7, 2087.3], [53915.7, 2074.1], [53935.1, 2060.3], [53964.0, 2039.8], [54000.4, 2015.0], [54000.0, 2000.0]]","0, 180",M0005
L0005,s000081,1,"[[54000.0, 3000.0], [53979.9, 3115.2], [53981.3, 3124.5], [54006.3, 3124.3], [54012.0, 3119.3], [54042.3, 3141.5], [54052.1, 3139.5], [54075.2, 3009.7], [54065.6, 3007.8], [54032.6, 3001.1], [54024.5, 2998.8], [54000.0, 3000.0]]","0, 180",M0005
L0005,s000082,1,"[[56000.0, 1000.0], [55998.9, 1027.1], [55988.8, 1027.2], [55986.2, 1058.1], [56221.6, 1074.6], [56222.1, 1068.4], [56222.7, 1060.7], [56223.4, 1052.9], [56224.0, 1045.2], [56224.5, 1039.9], [56224.7, 1037.9], [56224.7, 1037.4], [56225.4, 1029.7], [56226.0, 1022.0], [56226.6, 1014.2], [56227.1, 1006.4], [56227.1, 1006.4], [56219.9, 1005.8], [56207.8, 1004.7], [56195.7, 1003.6], [56183.6, 1002.6], [56176.4, 1002.1], [56174.8, 1001.9], [56169.1, 1001.5], [56161.9, 1001.0], [56154.6, 1000.6], [56149.8, 1000.3], [56147.8, 1000.2], [56144.9, 1000.1], [56140.1, 999.8], [56128.0, 999.3], [56120.7, 998.9], [56089.0, 998.3], [56057.2, 998.1], [56031.0, 998.0], [56029.6, 1001.0], [56028.1, 998.1], [56000.0, 1000.0]]","0, 180",M0005
L0005,s000083,1,"[[56000.0, 2000.0], [56000.0, 2068.6], [56196.5, 2068.6], [56196.5, 2000.0], [56000.0, 2000.0]]","0, 180",M0005
