i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction
0,0,2,2,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[120.0, 40.0], [60.0, 80.0], [0.0, 40.0], [60.0, 0.0], [120.0, 40.0]]","[[0.0, 0.0], [120.0, 80.0], [0.0, 160.0], [-120.0, 80.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,2,3,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[60.0, 100.0], [20.0, 40.0], [60.0, -20.0], [100.0, 40.0], [60.0, 100.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,3,0,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[0.0, 40.0], [60.0, 0.0], [120.0, 40.0], [60.0, 80.0], [0.0, 40.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,3,1,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[60.0, -20.0], [100.0, 40.0], [60.0, 100.0], [20.0, 40.0], [60.0, -20.0]]","[[0.0, 0.0], [80.0, 120.0], [0.0, 240.0], [-80.0, 120.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,0,3,2,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[120.0, 40.0], [60.0, 80.0], [0.0, 40.0], [60.0, 0.0], [120.0, 40.0]]","[[0.0, 0.0], [60.0, 40.0], [100.0, 100.0], [60.0, 160.0], [0.0, 200.0], [-60.0, 160.0], [-100.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], []]"
0,0,3,3,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[60.0, 100.0], [20.0, 40.0], [60.0, -20.0], [100.0, 40.0], [60.0, 100.0]]","[[0.0, 0.0], [80.0, 120.0], [0.0, 240.0], [-80.0, 120.0]]","[1, 1, 1, 1]","[[], [], [], []]"
0,1,0,0,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[50.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 50.0], [50.0, 50.0], [50.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [160.0, 40.0], [160.0, 90.0], [110.0, 123.33333333333334], [110.0, 140.0], [50.0, 180.0], [0.0, 180.0], [-60.0, 140.0], [-60.0, 40.0]]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[[], [], [], [], [[-33.33333333333334, -50.0], [-16.666666666666657, 1.0205389992894604e-15]], [], [], [], [], []]"
0,1,0,1,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[100.0, 50.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [50.0, 0.0], [50.0, 50.0], [100.0, 50.0]]","[[0.0, 0.0], [100.0, 0.0], [160.0, 40.0], [160.0, 140.0], [100.0, 180.0], [50.0, 180.0], [-10.0, 140.0], [-10.0, 123.33333333333333], [-60.0, 90.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[[], [], [], [], [], [], [], [[16.66666666666667, -1.0205389992894613e-15], [33.33333333333333, -50.0]], [], []]"
0,1,0,2,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[50.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 50.0], [50.0, 50.0], [50.0, 100.0]]","[[0.0, 0.0], [50.0, 0.0], [110.0, 40.0], [110.0, 140.0], [50.0, 180.0], [-50.0, 180.0], [-110.0, 140.0], [-110.0, 90.0], [-60.0, 56.66666666666667], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[[], [], [], [], [], [], [], [], [[33.33333333333333, 50.0], [16.66666666666667, -1.0205389992894613e-15]], []]"
0,1,0,3,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[0.0, 50.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [50.0, 100.0], [50.0, 50.0], [0.0, 50.0]]","[[0.0, 0.0], [50.0, 0.0], [110.0, 40.0], [110.0, 56.666666666666664], [160.0, 90.0], [160.0, 140.0], [100.0, 180.0], [0.0, 180.0], [-60.0, 140.0], [-60.0, 40.0]]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[[], [], [], [[-16.666666666666664, 1.020538999289461e-15], [-33.333333333333336, 50.0]], [], [], [], [], [], []]"
0,1,1,0,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[50.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 50.0], [50.0, 50.0], [50.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [140.0, 60.0], [140.0, 110.0], [100.0, 170.0], [83.33333333333334, 170.0], [50.00000000000001, 220.0], [0.0, 220.0], [-40.0, 160.0], [-40.0, 60.0]]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[[], [], [], [], [], [[-1.0205389992894604e-15, -16.666666666666657], [-50.0, -33.333333333333336]], [], [], [], []]"
0,1,1,1,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[100.0, 50.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [50.0, 0.0], [50.0, 50.0], [100.0, 50.0]]","[[0.0, 0.0], [100.0, 0.0], [140.0, 60.0], [140.0, 160.0], [100.0, 220.0], [50.0, 220.0], [16.666666666666664, 170.0], [0.0, 170.0], [-40.0, 110.0], [-40.0, 60.0]]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[[], [], [], [], [], [], [[50.0, -33.333333333333336], [-1.020538999289461e-15, -16.666666666666664]], [], [], []]"
0,1,1,2,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[50.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 50.0], [50.0, 50.0], [50.0, 100.0]]","[[0.0, 0.0], [50.0, 0.0], [90.0, 60.0], [90.0, 160.0], [50.0, 220.0], [-50.0, 220.0], [-90.0, 160.0], [-90.0, 110.0], [-50.0, 50.0], [-33.333333333333336, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[[], [], [], [], [], [], [], [], [], [[1.020538999289461e-15, 16.666666666666664], [50.0, 33.333333333333336]]]"
0,1,1,3,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[0.0, 50.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [50.0, 100.0], [50.0, 50.0], [0.0, 50.0]]","[[0.0, 0.0], [50.0, 0.0], [83.33333333333334, 50.0], [100.0, 50.0], [140.0, 110.0], [140.0, 160.0], [100.0, 220.0], [0.0, 220.0], [-40.0, 160.0], [-40.0, 60.0]]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[[], [], [[-50.0, 33.33333333333334], [1.0205389992894604e-15, 16.666666666666657]], [], [], [], [], [], [], []]"
0,1,2,0,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[50.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 50.0], [50.0, 50.0], [50.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [160.0, 40.0], [160.0, 90.0], [110.0, 123.33333333333334], [110.0, 140.0], [50.0, 180.0], [0.0, 180.0], [-60.0, 140.0], [-60.0, 40.0]]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[[], [], [], [], [[-33.33333333333334, -50.0], [-16.666666666666657, 1.0205389992894604e-15]], [], [], [], [], []]"
0,1,2,1,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[100.0, 50.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [50.0, 0.0], [50.0, 50.0], [100.0, 50.0]]","[[0.0, 0.0], [100.0, 0.0], [160.0, 40.0], [160.0, 140.0], [100.0, 180.0], [50.0, 180.0], [-10.0, 140.0], [-10.0, 123.33333333333333], [-60.0, 90.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[[], [], [], [], [], [], [], [[16.66666666666667, -1.0205389992894613e-15], [33.33333333333333, -50.0]], [], []]"
0,1,2,2,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[50.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 50.0], [50.0, 50.0], [50.0, 100.0]]","[[0.0, 0.0], [50.0, 0.0], [110.0, 40.0], [110.0, 140.0], [50.0, 180.0], [-50.0, 180.0], [-110.0, 140.0], [-110.0, 90.0], [-60.0, 56.66666666666667], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[[], [], [], [], [], [], [], [], [[33.33333333333333, 50.0], [16.66666666666667, -1.0205389992894613e-15]], []]"
0,1,2,3,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[0.0, 50.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [50.0, 100.0], [50.0, 50.0], [0.0, 50.0]]","[[0.0, 0.0], [50.0, 0.0], [110.0, 40.0], [110.0, 56.666666666666664], [160.0, 90.0], [160.0, 140.0], [100.0, 180.0], [0.0, 180.0], [-60.0, 140.0], [-60.0, 40.0]]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[[], [], [], [[-16.666666666666664, 1.020538999289461e-15], [-33.333333333333336, 50.0]], [], [], [], [], [], []]"
0,1,3,0,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[50.0, 0.0], [100.0, 0.0], [100.0, 100.0], [0.0, 100.0], [0.0, 50.0], [50.0, 50.0], [50.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [140.0, 60.0], [140.0, 110.0], [100.0, 170.0], [83.33333333333334, 170.0], [50.00000000000001, 220.0], [0.0, 220.0], [-40.0, 160.0], [-40.0, 60.0]]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[[], [], [], [], [], [[-1.0205389992894604e-15, -16.666666666666657], [-50.0, -33.333333333333336]], [], [], [], []]"
0,1,3,1,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[100.0, 50.0], [100.0, 100.0], [0.0, 100.0], [0.0, 0.0], [50.0, 0.0], [50.0, 50.0], [100.0, 50.0]]","[[0.0, 0.0], [100.0, 0.0], [140.0, 60.0], [140.0, 160.0], [100.0, 220.0], [50.0, 220.0], [16.666666666666664, 170.0], [0.0, 170.0], [-40.0, 110.0], [-40.0, 60.0]]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[[], [], [], [], [], [], [[50.0, -33.333333333333336], [-1.020538999289461e-15, -16.666666666666664]], [], [], []]"
0,1,3,2,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[50.0, 100.0], [0.0, 100.0], [0.0, 0.0], [100.0, 0.0], [100.0, 50.0], [50.0, 50.0], [50.0, 100.0]]","[[0.0, 0.0], [50.0, 0.0], [90.0, 60.0], [90.0, 160.0], [50.0, 220.0], [-50.0, 220.0], [-90.0, 160.0], [-90.0, 110.0], [-50.0, 50.0], [-33.333333333333336, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[[], [], [], [], [], [], [], [], [], [[1.020538999289461e-15, 16.666666666666664], [50.0, 33.333333333333336]]]"
0,1,3,3,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[0.0, 50.0], [0.0, 0.0], [100.0, 0.0], [100.0, 100.0], [50.0, 100.0], [50.0, 50.0], [0.0, 50.0]]","[[0.0, 0.0], [50.0, 0.0], [83.33333333333334, 50.0], [100.0, 50.0], [140.0, 110.0], [140.0, 160.0], [100.0, 220.0], [0.0, 220.0], [-40.0, 160.0], [-40.0, 60.0]]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[[], [], [[-50.0, 33.33333333333334], [1.0205389992894604e-15, 16.666666666666657]], [], [], [], [], [], [], []]"
0,2,0,0,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[0.0, 0.0], [80.0, 0.0], [100.0, 30.0], [80.0, 60.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 40.0], [140.0, 100.0], [80.0, 140.0], [0.0, 140.0], [-60.0, 100.0], [-80.0, 70.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,0,1,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[80.0, -20.0], [80.0, 60.0], [50.0, 80.0], [20.0, 60.0], [20.0, -20.0], [80.0, -20.0]]","[[0.0, 0.0], [90.0, 60.0], [90.0, 140.0], [30.0, 180.0], [-30.0, 180.0], [-90.0, 140.0], [-90.0, 60.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,0,2,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[100.0, 60.0], [20.0, 60.0], [0.0, 30.0], [20.0, 0.0], [100.0, 0.0], [100.0, 60.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 40.0], [160.0, 70.0], [140.0, 100.0], [80.0, 140.0], [0.0, 140.0], [-60.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,0,3,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[20.0, 80.0], [20.0, 0.0], [50.0, -20.0], [80.0, 0.0], [80.0, 80.0], [20.0, 80.0]]","[[0.0, 0.0], [60.0, 40.0], [60.0, 120.0], [-30.0, 180.0], [-120.0, 120.0], [-120.0, 40.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,1,0,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [100.0, 30.0], [80.0, 60.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [120.0, 60.0], [120.0, 120.0], [80.0, 180.0], [0.0, 180.0], [-60.0, 90.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,1,1,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[80.0, -20.0], [80.0, 60.0], [50.0, 80.0], [20.0, 60.0], [20.0, -20.0], [80.0, -20.0]]","[[0.0, 0.0], [30.0, 20.0], [70.0, 80.0], [70.0, 160.0], [30.0, 220.0], [-30.0, 220.0], [-70.0, 160.0], [-70.0, 80.0], [-30.0, 20.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,1,2,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[100.0, 60.0], [20.0, 60.0], [0.0, 30.0], [20.0, 0.0], [100.0, 0.0], [100.0, 60.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 90.0], [80.0, 180.0], [0.0, 180.0], [-40.0, 120.0], [-40.0, 60.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,1,3,"[[0.0, 0.0], [40.0, 60.0], [0.0, 120.0], [-40.0, 60.0], [0.0, 0.0]]","[[20.0, 80.0], [20.0, 0.0], [50.0, -20.0], [80.0, 0.0], [80.0, 80.0], [20.0, 80.0]]","[[0.0, 0.0], [40.0, 60.0], [40.0, 140.0], [0.0, 200.0], [-30.0, 220.0], [-60.0, 200.0], [-100.0, 140.0], [-100.0, 60.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,2,0,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[0.0, 0.0], [80.0, 0.0], [100.0, 30.0], [80.0, 60.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 40.0], [140.0, 100.0], [80.0, 140.0], [0.0, 140.0], [-60.0, 100.0], [-80.0, 70.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,2,1,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[80.0, -20.0], [80.0, 60.0], [50.0, 80.0], [20.0, 60.0], [20.0, -20.0], [80.0, -20.0]]","[[0.0, 0.0], [90.0, 60.0], [90.0, 140.0], [30.0, 180.0], [-30.0, 180.0], [-90.0, 140.0], [-90.0, 60.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,2,2,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[100.0, 60.0], [20.0, 60.0], [0.0, 30.0], [20.0, 0.0], [100.0, 0.0], [100.0, 60.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 40.0], [160.0, 70.0], [140.0, 100.0], [80.0, 140.0], [0.0, 140.0], [-60.0, 100.0], [-60.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,2,3,"[[60.0, 40.0], [0.0, 80.0], [-60.0, 40.0], [0.0, 0.0], [60.0, 40.0]]","[[20.0, 80.0], [20.0, 0.0], [50.0, -20.0], [80.0, 0.0], [80.0, 80.0], [20.0, 80.0]]","[[0.0, 0.0], [60.0, 40.0], [60.0, 120.0], [-30.0, 180.0], [-120.0, 120.0], [-120.0, 40.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,3,0,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[0.0, 0.0], [80.0, 0.0], [100.0, 30.0], [80.0, 60.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [120.0, 60.0], [120.0, 120.0], [80.0, 180.0], [0.0, 180.0], [-60.0, 90.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,3,1,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[80.0, -20.0], [80.0, 60.0], [50.0, 80.0], [20.0, 60.0], [20.0, -20.0], [80.0, -20.0]]","[[0.0, 0.0], [30.0, 20.0], [70.0, 80.0], [70.0, 160.0], [30.0, 220.0], [-30.0, 220.0], [-70.0, 160.0], [-70.0, 80.0], [-30.0, 20.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,2,3,2,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[100.0, 60.0], [20.0, 60.0], [0.0, 30.0], [20.0, 0.0], [100.0, 0.0], [100.0, 60.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 90.0], [80.0, 180.0], [0.0, 180.0], [-40.0, 120.0], [-40.0, 60.0]]","[1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], []]"
0,2,3,3,"[[0.0, 120.0], [-40.0, 60.0], [0.0, 0.0], [40.0, 60.0], [0.0, 120.0]]","[[20.0, 80.0], [20.0, 0.0], [50.0, -20.0], [80.0, 0.0], [80.0, 80.0], [20.0, 80.0]]","[[0.0, 0.0], [40.0, 60.0], [40.0, 140.0], [0.0, 200.0], [-30.0, 220.0], [-60.0, 200.0], [-100.0, 140.0], [-100.0, 60.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[], [], [], [], [], [], [], [], []]"
0,3,0,0,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[0.0, 0.0], [80.0, 0.0], [60.0, 20.0], [60.0, 60.0], [80.0, 80.0], [0.0, 80.0], [20.0, 60.0], [20.0, 20.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [140.0, 40.0], [120.0, 60.0], [120.0, 100.0], [140.0, 120.0], [80.0, 160.0], [0.0, 160.0], [-60.0, 120.0], [-40.0, 100.0], [-40.0, 60.0], [-60.0, 40.0]]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[[], [], [], [[-20.0, -20.0], [-40.0, 2.4492935982947065e-15]], [[-40.0, 2.4492935982947065e-15], [-20.0, 20.0]], [], [], [], [], [[20.0, 20.0], [40.0, -2.4492935982947065e-15]], [[40.0, -2.4492935982947065e-15], [20.0, -20.0]], []]"
0,3,0,1,"[[-60.0, 40.0], [0.0, 0.0], [60.0, 40.0], [0.0, 80.0], [-60.0, 40.0]]","[[80.0, 0.0], [80.0, 80.0], [60.0, 60.0], [20.0, 60.0], [0.0, 80.0], [0.0, 0.0], [20.0, 20.0], [60.0, 20.0], [80.0, 0.0]]","[[0.0, 0.0], [30.0, 20.0], [50.0, 20.0], [80.0, 0.0], [140.0, 40.0], [140.0, 120.0], [80.0, 160.0], [50.0, 140.0], [30.0, 140.0], [0.0, 160.0], [-60.0, 120.0], [-60.0, 40.0]]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[[], [[-19.999999999999996, 30.0], [1.2246467991473533e-15, 20.0]], [[1.2246467991473533e-15, 20.0], [20.000000000000004, 30.0]], [], [], [], [], [[19.999999999999996, -30.0], [-1.2246467991473533e-15, -20.0]], [[-1.2246467991473533e-15, -20.0], [-20.000000000000004, -30.0]], [], [], []]"
