i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction
0,0,2,2,"[[-10.0, 292.0], [-478.0, 294.0], [-727.0, 386.0], [-856.0, 363.0], [-930.0, 360.0], [-1049.0, 407.0], [-1097.0, 112.0], [-1078.0, 11.0], [0.0, 0.0], [-10.0, 292.0]]","[[1087.0, 292.0], [619.0, 294.0], [370.0, 386.0], [241.0, 363.0], [167.0, 360.0], [48.0, 407.0], [0.0, 112.0], [19.0, 11.0], [1097.0, 0.0], [1087.0, 292.0]]","[[0.0, 4.618527782440651e-14], [48.0, 295.0], [38.0, 587.0], [19.0, 688.0], [-456.72533363750426, 692.8543401391582], [-698.0, 782.0], [-973.9594383775351, 784.8159126365055], [-1020.0, 803.0], [-2098.0, 814.0], [-2146.0, 519.0], [-2136.0, 227.0], [-2117.0, 126.0], [-1641.2746663624957, 121.14565986084179], [-1400.0, 32.0], [-1124.0405616224648, 29.18408736349454], [-1078.0, 11.000000000000046]]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[[], [], [], [], [[-4.854340139158269, -475.72533363750426], [-89.14565986084177, -241.27466636249574]], [], [[-2.815912636505476, -275.9594383775351], [-18.184087363494545, -46.04056162246491]], [], [], [], [], [], [[4.85434013915824, 475.72533363750426], [89.1456598608418, 241.27466636249574]], [], [[2.815912636505476, 275.9594383775352], [18.1840873634945, 46.04056162246479]], []]"
0,0,2,3,"[[-10.0, 292.0], [-478.0, 294.0], [-727.0, 386.0], [-856.0, 363.0], [-930.0, 360.0], [-1049.0, 407.0], [-1097.0, 112.0], [-1078.0, 11.0], [0.0, 0.0], [-10.0, 292.0]]","[[460.0, 742.0], [458.0, 274.0], [366.0, 25.0], [389.0, -104.0], [392.0, -178.0], [345.0, -297.0], [640.0, -345.0], [741.0, -326.0], [752.0, 752.0], [460.0, 742.0]]","[[0.0, 0.0], [292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [377.52809440793885, 974.3796432881857], [407.0, 1049.0], [397.0, 1341.0], [102.0, 1389.0], [-198.98124911884952, 1390.286244654354], [-320.0, 1435.0], [-615.0, 1483.0], [-707.0604916390537, 1466.5861138938121], [-937.0, 1504.0], [-1038.0, 1485.0], [-1086.0, 1190.0], [-1097.0, 112.0], [-1078.0, 11.0]]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[[], [], [[-468.0, 2.000000000000029], [-249.0, 92.00000000000001]], [], [[-247.37964328818566, -8.471905592061132], [-74.62035671181434, 29.47190559206115]], [], [], [], [[-1.2862446543540684, -300.9812491188495], [-44.71375534564596, -121.01875088115048]], [], [], [[16.413886106187867, -92.06049163905368], [-37.41388610618789, -229.93950836094632]], [], [], [], [], []]"
0,0,3,0,"[[-180.0, 1087.0], [-182.0, 619.0], [-274.0, 370.0], [-251.0, 241.0], [-248.0, 167.0], [-295.0, 48.0], [0.0, 0.0], [101.0, 19.0], [112.0, 1097.0], [-180.0, 1087.0]]","[[10.0, 115.0], [478.0, 113.0], [727.0, 21.0], [856.0, 44.0], [930.0, 47.0], [1049.0, 0.0], [1097.0, 295.0], [1078.0, 396.0], [0.0, 407.0], [10.0, 115.0]]","[[0.0, 0.0], [101.0, 19.0], [112.0, 1097.0], [102.0, 1389.0], [-366.0, 1391.0], [-615.0, 1483.0], [-862.3796432881857, 1474.5280944079389], [-937.0, 1504.0], [-1229.0, 1494.0], [-1277.0, 1199.0], [-1278.286244654354, 898.0187508811505], [-1323.0, 777.0], [-1371.0, 482.0], [-1354.5861138938121, 389.9395083609463], [-1392.0, 160.0], [-1373.0, 59.0], [-1078.0, 11.0]]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]","[[], [], [], [], [[-2.000000000000029, -468.0], [-92.00000000000001, -249.0]], [], [[8.471905592061132, -247.37964328818566], [-29.47190559206115, -74.62035671181434]], [], [], [], [[300.9812491188495, -1.2862446543540684], [121.01875088115048, -44.71375534564596]], [], [], [[92.06049163905368, 16.413886106187867], [229.93950836094632, -37.41388610618789]], [], [], []]"
0,0,3,1,"[[-180.0, 1087.0], [-182.0, 619.0], [-274.0, 370.0], [-251.0, 241.0], [-248.0, 167.0], [-295.0, 48.0], [0.0, 0.0], [101.0, 19.0], [112.0, 1097.0], [-180.0, 1087.0]]","[[637.0, -335.0], [639.0, 133.0], [731.0, 382.0], [708.0, 511.0], [705.0, 585.0], [752.0, 704.0], [457.0, 752.0], [356.0, 733.0], [345.0, -345.0], [637.0, -335.0]]","[[0.0, 0.0], [202.0, 38.0], [224.0, 2194.0], [-360.0, 2174.0], [-362.0, 1706.0], [-454.0, 1457.0], [-455.1614118944756, 1185.2296166927108], [-475.0, 1135.0], [-475.85356454720613, 935.2658959537572], [-548.0, 740.0], [-525.0, 611.0], [-522.2998014559894, 544.3951025810721], [-569.0, 418.0], [-546.0, 289.0], [-543.0, 215.0], [-590.0, 96.0]]","[1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[[], [], [], [], [[468.0, -2.000000000000029], [249.0, -92.00000000000001]], [], [[271.7703833072892, -1.161411894475594], [50.229616692710806, -19.838588105524426]], [], [[199.7341040462428, -0.8535645472061455], [195.2658959537572, -72.14643545279388]], [], [[129.0, 22.999999999999993], [66.60489741892786, 2.700198544010614]], [[66.60489741892786, 2.700198544010614], [126.39510258107214, -46.700198544010625]], [], [[129.0, 22.999999999999993], [74.0, 2.9999999999999956]], [[74.0, 2.9999999999999956], [119.0, -47.00000000000001]], []]"
0,0,3,2,"[[-180.0, 1087.0], [-182.0, 619.0], [-274.0, 370.0], [-251.0, 241.0], [-248.0, 167.0], [-295.0, 48.0], [0.0, 0.0], [101.0, 19.0], [112.0, 1097.0], [-180.0, 1087.0]]","[[1087.0, 292.0], [619.0, 294.0], [370.0, 386.0], [241.0, 363.0], [167.0, 360.0], [48.0, 407.0], [0.0, 112.0], [19.0, 11.0], [1097.0, 0.0], [1087.0, 292.0]]","[[-2.842170943040401e-14, 1.4210854715202004e-14], [101.0, 19.0], [149.0, 314.0], [160.0, 1392.0], [141.0, 1493.0], [-937.0, 1504.0], [-1229.0, 1494.0], [-1231.0, 1026.0], [-1323.0, 777.0], [-1314.5280944079389, 529.6203567118143], [-1344.0, 454.99999999999994], [-1334.0, 162.99999999999994], [-1039.0, 114.99999999999994], [-738.0187508811505, 113.7137553456459], [-617.0, 68.99999999999994], [-322.0, 20.999999999999943], [-229.93950836094612, 37.413886106187846]]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]","[[], [], [], [], [], [], [], [[468.0, -2.000000000000029], [249.0, -92.00000000000001]], [], [[247.37964328818566, 8.471905592061132], [74.6203567118144, -29.47190559206115]], [], [], [], [[1.2862446543540684, 300.9812491188495], [44.71375534564596, 121.01875088115048]], [], [], [[-16.413886106187896, 92.06049163905388], [37.413886106187846, 229.9395083609461]]]"
0,0,3,3,"[[-180.0, 1087.0], [-182.0, 619.0], [-274.0, 370.0], [-251.0, 241.0], [-248.0, 167.0], [-295.0, 48.0], [0.0, 0.0], [101.0, 19.0], [112.0, 1097.0], [-180.0, 1087.0]]","[[460.0, 742.0], [458.0, 274.0], [366.0, 25.0], [389.0, -104.0], [392.0, -178.0], [345.0, -297.0], [640.0, -345.0], [741.0, -326.0], [752.0, 752.0], [460.0, 742.0]]","[[0.0, 0.0], [292.0, 10.0], [393.0, 29.0], [397.85434013915824, 504.72533363750426], [487.0, 746.0], [489.81591263650546, 1021.9594383775351], [508.0, 1068.0], [519.0, 2146.0], [224.0, 2194.0], [-68.0, 2184.0], [-169.0, 2165.0], [-173.8543401391582, 1689.2746663624957], [-263.0, 1448.0], [-265.81591263650546, 1172.0405616224648], [-284.0, 1126.0], [-295.0, 48.0]]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[[], [], [], [[-475.72533363750426, 4.854340139158269], [-241.27466636249574, 89.14565986084177]], [], [[-275.9594383775351, 2.815912636505476], [-46.04056162246491, 18.184087363494545]], [], [], [], [], [], [[475.72533363750426, -4.85434013915824], [241.27466636249574, -89.1456598608418]], [], [[275.9594383775352, -2.815912636505476], [46.04056162246479, -18.184087363494545]], [], []]"
0,1,0,0,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[0.0, 0.0], [316.0, 2.0], [316.0, 274.0], [0.0, 275.0], [0.0, 0.0]]","[[0.0, 1.0658141036401503e-14], [48.0, 295.0], [48.0, 570.0], [29.0, 671.0], [-1049.0, 682.0], [-1365.0, 680.0], [-1365.0, 408.0], [-1355.0, 116.0], [-887.0, 114.0], [-638.0, 22.0], [-366.9988461277404, 21.142401411796648], [-316.0, 1.0000000000000107]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[[], [], [], [], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[0.8575985882033687, 271.0011538722596], [20.14240141179664, 50.99884612774042]], []]"
0,1,0,1,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[295.5, -20.5], [293.5, 295.5], [21.5, 295.5], [20.5, -20.5], [295.5, -20.5]]","[[0.0, 0.0], [272.0, 0.0], [320.0, 295.0], [321.0, 611.0], [302.0, 712.0], [-776.0, 723.0], [-1051.0, 723.0], [-1049.0, 407.0], [-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-53.170212765957444, 21.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[[], [], [], [], [], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[1.646107692258171e-14, 268.82978723404256], [21.000000000000004, 53.170212765957444]]]"
0,1,0,2,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[316.0, 275.0], [0.0, 273.0], [0.0, 1.0], [316.0, 0.0], [316.0, 275.0]]","[[1.4210854715202004e-14, 0.0], [316.0, 2.0], [364.0, 297.0], [364.0, 569.0], [345.0, 670.0], [-733.0, 681.0], [-1049.0, 682.0], [-1049.0, 407.0], [-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-57.41020543406228, 22.674618952948972]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[[], [], [], [], [], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[-1.6746189529489557, 264.5897945659377], [22.674618952948975, 57.41020543406229]]]"
0,1,0,3,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[20.5, 295.5], [22.5, -20.5], [294.5, -20.5], [295.5, 295.5], [20.5, 295.5]]","[[0.0, 0.0], [48.0, 295.0], [46.0, 611.0], [27.0, 712.0], [-1051.0, 723.0], [-1323.0, 723.0], [-1324.0, 407.0], [-1314.0, 115.0], [-846.0, 113.0], [-597.0, 21.0], [-328.17021276595744, 21.0], [-275.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[[], [], [], [], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[1.646107692258171e-14, 268.82978723404256], [21.000000000000004, 53.170212765957444]], []]"
0,1,1,0,"[[292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [363.0, 856.0], [360.0, 930.0], [407.0, 1049.0], [112.0, 1097.0], [11.0, 1078.0], [0.0, 0.0], [292.0, 10.0]]","[[0.0, 0.0], [316.0, 2.0], [316.0, 274.0], [0.0, 275.0], [0.0, 0.0]]","[[0.0, 0.0], [292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [386.0, 995.8297872340426], [407.0, 1049.0], [407.0, 1324.0], [112.0, 1372.0], [-204.0, 1370.0], [-305.0, 1351.0], [-316.0, 273.0], [-316.0, 1.0]]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[[], [], [[-468.0, 2.000000000000029], [-249.0, 92.00000000000001]], [], [[-268.82978723404256, 1.646107692258171e-14], [-53.170212765957444, 21.000000000000004]], [], [], [], [], [], [], []]"
0,1,1,1,"[[292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [363.0, 856.0], [360.0, 930.0], [407.0, 1049.0], [112.0, 1097.0], [11.0, 1078.0], [0.0, 0.0], [292.0, 10.0]]","[[295.5, -20.5], [293.5, 295.5], [21.5, 295.5], [20.5, -20.5], [295.5, -20.5]]","[[0.0, 0.0], [272.0, 0.0], [564.0, 10.0], [566.0, 478.0], [658.0, 727.0], [658.8575985882034, 998.0011538722596], [679.0, 1049.0], [680.0, 1365.0], [385.0, 1413.0], [110.0, 1413.0], [9.0, 1394.0], [-2.0, 316.0]]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[[], [], [], [[-468.0, 2.000000000000029], [-249.0, 92.00000000000001]], [], [[-271.0011538722596, 0.8575985882033758], [-50.99884612774042, 20.142401411796644]], [], [], [], [], [], []]"
